City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,adigrat,14.277,39.462,11.51,85,26,2.23,ET,1731370246
271,fort mcmurray,56.7268,-111.381,0.75,76,95,2.6,CA,1731370247
272,porkhov,57.765,29.5561,0.07,92,99,1.99,RU,1731370248
273,igarka,67.4667,86.5833,-23.56,94,99,4.34,RU,1731370249
274,manismata,-2.4667,111.0333,26.48,85,91,0.52,ID,1731370250
275,utrik,11.2278,169.8474,28.48,77,16,7.28,MH,1731370252
276,sao francisco,-15.9486,-44.8644,25.99,65,100,1.26,BR,1731370253
277,maslyanino,54.3436,84.2111,-9.86,91,100,5.58,RU,1731370255
278,soio,-6.1349,12.3689,25.28,88,82,3.0,AO,1731370256
279,ghanzi,-21.5667,21.7833,21.02,67,88,2.45,BW,1731370257
280,myeik,12.4333,98.6,25.36,81,79,1.76,MM,1731370258
281,buala,-8.145,159.5921,29.16,75,58,2.91,SB,1731370259
282,al khawr,25.7667,51.3167,23.94,68,1,2.63,QA,1731370260
283,qandala,11.472,49.8728,24.95,86,27,1.69,SO,1731370261
284,tuburan,6.6439,122.2736,27.74,73,67,0.12,PH,1731370262
285,rabaul,-4.1967,152.1721,29.22,68,32,2.29,PG,1731370263
286,happy valley-goose bay,53.3168,-60.3315,-0.83,74,100,3.6,CA,1731370265
287,roxas,11.5853,122.7511,26.98,83,55,1.73,PH,1731370266
288,greymouth,-42.4667,171.2,14.59,54,45,3.2,NZ,1731370267
289,tsiombe,-25.3,45.4833,21.75,93,99,1.8,MG,1731370268
290,colonia,50.9333,6.95,9.51,92,75,1.54,DE,1731370269
291,smara,26.7384,-11.6719,18.07,78,68,4.29,EH,1731370270
292,gazojak,41.1875,61.4036,8.6,52,98,3.1,TM,1731370271
293,valparaiso,-33.0393,-71.6273,20.8,40,0,3.09,CL,1731370272
294,umaria,23.5333,80.8333,16.51,71,0,1.54,IN,1731370273
295,zyryanskoye,56.8306,86.6258,-9.94,86,95,5.46,RU,1731370276
296,island harbour,50.724,-1.2758,6.67,67,31,2.68,GB,1731370277
297,northam,51.0333,-4.2167,9.23,81,48,2.13,GB,1731370278
298,san luis de la loma,17.2706,-100.8939,27.12,85,57,1.65,MX,1731370279
299,mandeville,18.0417,-77.5071,20.62,96,84,0.78,JM,1731370280
300,balkanabat,39.5108,54.3671,11.15,72,100,3.7,TM,1731370281
301,ongwediva,-17.7833,15.7667,21.38,56,97,5.22,NA,1731370282
302,bama,11.5221,13.6856,23.36,34,3,2.75,NG,1731370283
303,nur-sultan,51.1801,71.446,-14.03,85,40,4.0,KZ,1731370285
304,panauti,27.5814,85.5124,13.18,100,20,0.0,NP,1731370287
305,el calafate,-50.3408,-72.2768,9.69,70,52,6.85,AR,1731370288
306,rock springs,41.5875,-109.2029,9.69,33,0,5.66,US,1731370134
307,ulladulla,-35.35,150.4667,20.35,75,82,3.18,AU,1731370290
308,nouadhibou,20.931,-17.0347,21.99,68,0,4.63,MR,1731370291
309,urangan,-25.3,152.9,24.54,77,100,7.36,AU,1731370292
310,queenstown,-31.8976,26.8753,12.04,86,80,1.75,ZA,1731370293
311,hotan,37.0997,79.9269,7.86,55,100,2.75,CN,1731370295
312,bowen,-20.0167,148.2333,27.19,59,14,4.24,AU,1731370296
313,lata,40.1629,-8.3327,10.19,74,0,1.93,PT,1731370298
314,sungai raya,0.7,108.9,26.01,83,87,1.33,ID,1731370300
315,tongchuan,35.0806,109.0897,11.7,81,100,1.44,CN,1731370301
316,howard springs,-12.497,131.047,31.95,78,66,3.05,AU,1731370303
317,praia da vitoria,38.7333,-27.0667,19.42,92,100,8.96,PT,1731370304
318,apiai,-24.5094,-48.8425,18.6,78,31,1.48,BR,1731370305
319,koh kong,11.6175,102.9806,24.79,83,79,1.94,KH,1731370306
320,formosa,-26.1775,-58.1781,22.2,61,75,6.69,AR,1731370307
321,invercargill,-46.4,168.35,15.57,57,14,5.81,NZ,1731370154
322,rakamaz,48.1333,21.4667,2.58,64,62,0.83,HU,1731370309
323,okoneshnikovo,54.8377,75.0834,-10.2,90,100,6.54,RU,1731370310
324,mammoth lakes,37.6485,-118.9721,-1.48,73,48,0.45,US,1731370219
325,sweet home,44.3976,-122.7362,10.95,85,97,1.34,US,1731370313
326,morant bay,17.8815,-76.4093,26.61,85,100,1.91,JM,1731370314
327,hwange,-18.3693,26.5019,22.53,68,95,1.28,ZW,1731370315
328,eno,62.8051,30.1542,-0.3,92,100,1.54,FI,1731370316
329,arteche,12.2645,125.4048,27.72,85,77,1.32,PH,1731370317
330,christchurch,-43.5333,172.6333,18.56,55,31,8.23,NZ,1731370132
